SEQ,Orig Filename,INST.1,INST.2,INST.#,INST.#.2,INST.3A,DESC,Dimension,Foto-ID,Farbskala
183,AIG463OSmitUK017,,AIG,0463,,,OSmitUK,,017,
184,AIG463OSmitUK081,,AIG,0463,,,OSmitUK,,081,
185,AIG463OSmitUK039,,AIG,0463,,,OSmitUK,,039,
186,AIG463OSmitUK039,,AIG,0463,,,OSmitUK,,039,
187,AIG463OSmitUK039,,AIG,0463,,,OSmitUK,,039,
188,AIG502OSohneUK,,AIG,0502,,,OSohneUK,,,
189,AIG502OSohneUK001,,AIG,0502,,,OSohneUK,,001,
190,AIG502OSohneUK005,,AIG,0502,,,OSohneUK,,005,
191,AIG502OSohneUK011,,AIG,0502,,,OSohneUK,,011,
192,AIG502OSohneUK017,,AIG,0502,,,OSohneUK,,017,
193,AIG502OSohneUK081,,AIG,0502,,,OSohneUK,,081,
194,AIG513OSmitUK,,AIG,0513,,,OSmitUK,,,
195,AIG513OSmitUK001,,AIG,0513,,,OSmitUK,,001,
196,AIG513OSmitUK005,,AIG,0513,,,OSmitUK,,005,
197,AIG513OSmitUK011,,AIG,0513,,,OSmitUK,,011,
198,AIG513OSmitUK017,,AIG,0513,,,OSmitUK,,017,
199,AIG513OSmitUK081,,AIG,0513,,,OSmitUK,,081,
200,AIG546OSmitUK1,,AIG,0546,,,OSmitUK,,001,
201,AIG546OSmitUK11,,AIG,0546,,,OSmitUK,,011,
202,AIG546OSmitUK17,,AIG,0546,,,OSmitUK,,017,
203,AIG546OSmitUK5,,AIG,0546,,,OSmitUK,,005,
204,AIG546OSmitUK81,,AIG,0546,,,OSmitUK,,081,
205,AIG546OSmitUK,,AIG,0546,,,OSmitUK,,,
206,AIG612OSmitUK011,,AIG,0612,,,OSmitUK,,011,
207,AIG612OSmitUK039,,AIG,0612,,,OSmitUK,,039,
208,AIG612OSmitUK039,,AIG,0612,,,OSmitUK,,039,
209,AIG360OSmitUK,,AIG,0360,,,OSmitUK,,,
210,AIG360OSmitUK001,,AIG,0360,,,OSmitUK,,001,
211,AIG360OSmitUK005,,AIG,0360,,,OSmitUK,,005,
212,AIG360OSmitUK011,,AIG,0360,,,OSmitUK,,011,
213,AIG360OSmitUK017,,AIG,0360,,,OSmitUK,,017,
214,AIG360OSmitUK081,,AIG,0360,,,OSmitUK,,081,
215,AIG360OSmitUK039,,AIG,0360,,,OSmitUK,,039,
216,AIG369,,AIG,0369,,,,,,
217,AIG369001,,AIG,0369,,,,,001,
218,AIG369005,,AIG,0369,,,,,005,
219,AIG369011,,AIG,0369,,,,,011,
220,AIG369017,,AIG,0369,,,,,017,
221,AIG369081,,AIG,0369,,,,,081,
222,AIG369039,,AIG,0369,,,,,039,
223,AIG382OSmitUK,,AIG,0382,,,OSmitUK,,,
224,AIG382OSmitUK005,,AIG,0382,,,OSmitUK,,005,
225,AIG382OSmitUK011,,AIG,0382,,,OSmitUK,,011,
226,AIG382OSmitUK017,,AIG,0382,,,OSmitUK,,017,
227,AIG382OSmitUK081,,AIG,0382,,,OSmitUK,,081,
228,AIG382OSmitUK039,,AIG,0382,,,OSmitUK,,039,
229,AIG382OSmitUK039,,AIG,0382,,,OSmitUK,,039,
230,AIG382OSmitUK039,,AIG,0382,,,OSmitUK,,039,
231,AIG384OSmitUK002,,AIG,0384,,,OSmitUK,,002,
232,AIG384OSmitUK039,,AIG,0384,,,OSmitUK,,039,
233,AIG384OSmitUK039,,AIG,0384,,,OSmitUK,,039,
234,AIG384OSmitUK039,,AIG,0384,,,OSmitUK,,039,
235,AIG387OSohneUK,,AIG,0387,,,OSohneUK,,,
236,AIG387OSohneUK001,,AIG,0387,,,OSohneUK,,001,
237,AIG387OSohneUK005,,AIG,0387,,,OSohneUK,,005,
238,AIG387OSohneUK011,,AIG,0387,,,OSohneUK,,011,
239,AIG387OSohneUK017,,AIG,0387,,,OSohneUK,,017,
240,AIG387OSohneUK081,,AIG,0387,,,OSohneUK,,081,
241,AIG387OSohneUK004,,AIG,0387,,,OSohneUK,,004,
242,AIG387OSohneUK039,,AIG,0387,,,OSohneUK,,039,
243,AIG387OSohneUK039,,AIG,0387,,,OSohneUK,,039,
